iter	Passed	Remaining
0	74	74181
1	82	40987
2	92	30844
3	101	25165
4	108	21575
5	115	19102
6	122	17401
7	129	16090
8	138	15217
9	144	14350
10	152	13729
11	161	13266
12	168	12774
13	176	12403
14	186	12218
15	193	11873
16	199	11549
17	206	11250
18	212	10975
19	219	10753
20	227	10605
21	236	10503
22	244	10384
23	251	10215
24	257	10055
25	301	11310
26	320	11552
27	329	11421
28	337	11293
29	346	11200
30	353	11050
31	360	10917
32	370	10855
33	378	10759
34	386	10655
35	394	10557
36	401	10461
37	410	10382
38	417	10288
39	425	10206
40	433	10147
41	441	10078
42	450	10031
43	460	9999
44	485	10297
45	496	10295
46	506	10275
47	515	10228
48	523	10160
49	531	10091
50	538	10021
51	545	9953
52	553	9887
53	560	9823
54	568	9773
55	576	9726
56	585	9691
57	595	9673
58	605	9650
59	615	9636
60	625	9626
61	638	9655
62	651	9684
63	663	9709
64	676	9729
65	693	9815
66	707	9851
67	719	9856
68	728	9829
69	737	9803
70	747	9774
71	756	9749
72	765	9725
73	775	9702
74	784	9679
75	794	9661
76	807	9685
77	819	9686
78	831	9689
79	841	9682
80	852	9667
81	862	9652
82	872	9637
83	882	9627
84	893	9621
85	904	9614
86	916	9613
87	930	9644
88	941	9641
89	953	9642
90	965	9642
91	989	9767
92	1001	9764
93	1012	9759
94	1021	9735
95	1031	9713
96	1040	9687
97	1050	9667
98	1059	9645
99	1069	9627
100	1079	9611
101	1093	9630
102	1105	9630
103	1117	9631
104	1129	9627
105	1141	9625
106	1152	9621
107	1164	9615
108	1174	9602
109	1184	9583
110	1197	9587
111	1211	9606
112	1222	9596
113	1233	9590
114	1245	9583
115	1257	9585
116	1269	9582
117	1282	9583
118	1293	9576
119	1303	9561
120	1314	9551
121	1326	9543
122	1336	9532
123	1348	9529
124	1359	9515
125	1370	9505
126	1381	9495
127	1391	9479
128	1403	9477
129	1414	9466
130	1425	9459
131	1436	9447
132	1449	9452
133	1461	9445
134	1472	9434
135	1483	9424
136	1495	9417
137	1506	9410
138	1517	9399
139	1529	9395
140	1545	9417
141	1558	9415
142	1573	9429
143	1588	9440
144	1600	9435
145	1614	9443
146	1627	9441
147	1638	9431
148	1649	9421
149	1659	9405
150	1672	9401
151	1683	9394
152	1695	9383
153	1707	9379
154	1726	9413
155	1745	9443
156	1757	9436
157	1769	9429
158	1780	9419
159	1792	9408
160	1802	9394
161	1826	9449
162	1842	9460
163	1856	9465
164	1868	9457
165	1878	9440
166	1888	9420
167	1898	9400
168	1909	9387
169	1920	9375
170	1932	9366
171	1944	9359
172	1957	9356
173	1972	9365
174	1985	9357
175	1997	9351
176	2013	9361
177	2024	9348
178	2046	9388
179	2058	9375
180	2068	9360
181	2079	9346
182	2089	9330
183	2101	9318
184	2112	9305
185	2122	9290
186	2134	9278
187	2145	9266
188	2156	9254
189	2167	9241
190	2179	9229
191	2191	9222
192	2203	9212
193	2215	9206
194	2228	9198
195	2239	9185
196	2250	9175
197	2263	9170
198	2276	9164
199	2288	9154
200	2303	9154
201	2317	9156
202	2331	9154
203	2347	9158
204	2362	9160
205	2374	9151
206	2390	9157
207	2405	9159
208	2426	9182
209	2442	9187
210	2455	9181
211	2468	9176
212	2479	9162
213	2490	9146
214	2504	9142
215	2515	9131
216	2527	9120
217	2539	9107
218	2550	9094
219	2560	9079
220	2573	9070
221	2588	9069
222	2600	9059
223	2611	9047
224	2622	9033
225	2633	9020
226	2644	9005
227	2655	8992
228	2666	8978
229	2677	8964
230	2688	8949
231	2700	8938
232	2711	8926
233	2724	8917
234	2734	8902
235	2744	8886
236	2755	8870
237	2767	8859
238	2777	8842
239	2788	8828
240	2799	8815
241	2812	8809
242	2825	8801
243	2835	8785
244	2846	8770
245	2857	8757
246	2868	8744
247	2878	8728
248	2889	8713
249	2899	8699
250	2912	8689
251	2923	8677
252	2933	8661
253	2944	8648
254	2954	8633
255	2966	8620
256	2976	8604
257	2986	8590
258	2998	8579
259	3010	8568
260	3021	8555
261	3033	8543
262	3045	8533
263	3057	8523
264	3068	8510
265	3080	8500
266	3092	8490
267	3104	8480
268	3117	8471
269	3129	8461
270	3141	8451
271	3153	8440
272	3165	8430
273	3178	8421
274	3190	8411
275	3203	8402
276	3214	8391
277	3230	8389
278	3241	8375
279	3253	8365
280	3265	8355
281	3278	8347
282	3288	8331
283	3301	8322
284	3313	8311
285	3326	8305
286	3347	8316
287	3358	8303
288	3370	8292
289	3381	8279
290	3394	8269
291	3411	8271
292	3444	8310
293	3457	8303
294	3476	8308
295	3488	8296
296	3497	8279
297	3508	8265
298	3519	8251
299	3531	8240
300	3546	8235
301	3561	8231
302	3573	8220
303	3586	8211
304	3600	8205
305	3614	8197
306	3626	8186
307	3638	8173
308	3649	8160
309	3660	8146
310	3672	8135
311	3683	8122
312	3695	8110
313	3706	8098
314	3719	8088
315	3730	8075
316	3741	8061
317	3753	8050
318	3765	8038
319	3777	8027
320	3789	8015
321	3801	8003
322	3815	7997
323	3828	7988
324	3841	7978
325	3855	7970
326	3867	7959
327	3879	7947
328	3890	7934
329	3901	7921
330	3914	7912
331	3928	7905
332	3943	7899
333	3956	7889
334	3968	7877
335	3978	7863
336	3989	7848
337	4000	7835
338	4011	7820
339	4023	7810
340	4035	7798
341	4045	7784
342	4056	7770
343	4067	7756
344	4078	7743
345	4089	7730
346	4100	7716
347	4111	7702
348	4121	7688
349	4132	7674
350	4143	7661
351	4154	7648
352	4165	7635
353	4177	7622
354	4188	7609
355	4198	7595
356	4209	7581
357	4221	7569
